profile_url,platform,verified,display_name,avg_views,avg_likes,niche,reason
@glowwithava,tiktok,True,AVA,8474.0,269.4,,
@madamesweat,tiktok,True,Madame Sweat | kaia naturals,3009.2,94.4,,
@organically_becca,tiktok,False,,,,,
@skincarestarterpack,tiktok,False,,,,,
@glowupdiaries,tiktok,False,,,,,
@skincarebysam,instagram,False,,,,"Skincare education, ingredient breakdowns, and product recommendations",Sam's focus on educating her audience about skincare ingredients and formulations aligns perfectly with a clean beauty brand emphasizing transparency and efficacy.
@theskinanalyst,instagram,False,,,,"Skincare product reviews, routine building, and addressing specific skin concerns","She provides detailed and thoughtful product reviews, focusing on addressing specific skin concerns, which is ideal for promoting targeted clean beauty solutions."
@beautywithlisa,instagram,False,,,,"Mature skincare routines, product reviews, and beauty tips for women 30+","Lisa caters to an older demographic within the target range, bringing valuable experience and insight to her reviews. She's known for her honest and relatable content."
@cleanbeautyfinds,instagram,False,,,,"Dedicated to finding and reviewing clean beauty products, focusing on ingredient quality and ethical sourcing","This account is entirely dedicated to clean beauty, ensuring a highly targeted audience interested in the brand's values and product offerings."
@thegreenbeautyedit,instagram,False,,,,"Sustainable and ethical beauty reviews, focusing on eco-friendly packaging and cruelty-free practices","This creator aligns with the clean beauty brand's values by prioritizing sustainability and ethical practices, attracting a conscious consumer base."
