Name,Account(s),Socials,TikTok,Notes / Status,,,,,Pass 2 TikTok Status,Pass 2 Confidence,Pass 2 Source,Pass 2 Notes
Dr Joseph Salhab,thestomachdoc,IG,@thestomachdoc,,Status,DM'd,,,,,,
James/Dahlia Marin,@married2health,"IG, Podcast",https://www.tiktok.com/@marriedtohealth,"Good Gut Live Podcast, Registered Dietitians",,,,,,,,
Dr. Will Bulsiewicz,@theguthealthmd,"IG, YT, TT",@theguthealthmd_,"Deep dives into gut microbiome, plant-based nutrition, postbiotics",,,,,,,,
Shawn Stevenson,@shawnmodel,"IG, YT",-,"Gut-brain axis, sleep, nutrition, science-backed wellness",,,,,,,,
Dr Megan Rossi,@theguthealthdoctor,"IG, TT",@theguthealthdoctor,Digestive wellness expert with engaging science-first content,,,,,,,,
Sarah Kay Hoffman,@agutsygirl,"IG, TT, Blog",@agutsygirl,"IBS, SIBO, elimination diets, natural gut healing",,,,,,,,
Dr. Mark Hyman,@drmarkhyman,"IG, YT, Podcast",@drmarkhyman,"Functional medicine leader, gut-brain-food connection, science-based",,,,,,,,
Maggie Berghoff,@maggie_berghoff,"IG, YT, TT",@maggie_berghoff,"Functional wellness coach, gut & hormone optimization",,,,,,,,
Ben Azadi,@ketokampbenazadi,"YT, IG, TT",@thebenazadi,"Gut biohacking content, intermittent fasting, microbiome health",,,,,,,,
Dr. Casey Means,@drcaseyskitchen,"IG, Podcast",@caseymeansmd,"Metabolic & gut health, Levels Health, deep but digestible science",,,,,,,,
Organic Olivia,@organicolivia,"IG, Podcast, TT",@organicolivia,"Herbalist, gut-liver detox focus, clean beauty cross-fit",,,,,,,,
Kayla McDonnell,@holisticrendezvous,"IG, YT",,"Holistic hormone + digestive health, storytelling style",,,,,,,,
Jordan Haworth,@mrguthealth,"IG, TikTok",@mrguthealth,"Clinical physiologist, science-backed gut content, 240K+ IG, 222K TikTok",,,,,,,,
Brigid Titgemeier,@beingbrigid,IG,@BeingBrigid,"Registered dietitian focused on inflammation and gut, 109K followers",,,,,,,,
Kelsey Hoogstad,@kelseyhoogstad,IG,https://www.tiktok.com/@kelseyhoogstad,"FNTP; 'Eat cleaner' gut health guide, 73K followers",,,,,,,,
Mollie Mason,@mollie.mason,IG,-,"CNTP; Functional nutritionist, gut and hormone focus, 15K followers",,,,,,,,
Emily Roberts,@officialemilyroberts,IG,-,"FNTP, high engagement (4.5%), moms & digestive health, 50K followers",,,,,,,,
Alina,@hopefulfoodfinds,IG,https://www.tiktok.com/@hopefulfoodfinds,"Gut-friendly family meals, clean eating, 46K followers",,,,,,,,
Whitney,@restored_nutrition,IG,https://www.tiktok.com/@restored_nutrition,"Functional nutritionist, minerals and gut education, 18K followers",,,,,,,,
Katie Braswell,@livewildbewell,IG,https://www.tiktok.com/@livewildbewell,"MSHN; functional nutritionist, gut + womens wellness",,,,,,,,
Justin Marchegiani,Just In Health,YouTube,@justinhealth,"Functional medicine, gut microbiome, 71K YouTube",,,,,,,,
Peggy Schirmer,Peggy Schirmer,YouTube,https://www.tiktok.com/@peggy_schirmer,Gut health & detoxification content creator,,,,,,,,
Dr. Pal Manickam,DrPal,"YouTube, IG",@drpal,"Gastroenterologist with comedic/educational skits, 3M+ YouTube",,,,,,,,
Nicola Royce,@m2biome1,TikTok,@m2biome1,"Postbiotics explainer, microbiome science",,,,,,,,
Jillian Beckham,@subconsciouslysimple,TikTok,@subconsciouslysimple,UGC demos for gut/microbiome supplements,,,,,,,,
Erin Holt,@erinholthealth,"IG, Podcast",https://www.tiktok.com/@funktional.nutritionist,"Functional nutritionist, gut and hormone specialist",,,,,,,,
"Lisa Dreher, RD",@lisa_dreher_rd,IG,-,"Integrative nutritionist at UltraWellness Center, focus on microbiome and postbiotics",,,,,,,,
The Organic Trainer,@theorganictrainer,"IG, TikTok",-,"Gut-focused personal trainer, natural approach to wellness",,,,,,,,
The Gut Health Nutritionist (Marilia Chamon),@gutfulnessnutrition,"IG, TikTok",-,"Specialist in SIBO, IBS, gut healing for women",,,,,,,,
Melissa Ramos,@sexyfoodtherapy,"IG, YT",-,"Hormones, digestion, functional nutrition, founder of Sexy Food Therapy",,,,,,,,
